id;bulan;tahun;kec_id;status
c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db5;11;2023;1674011;6
3f29065b-7893-44e9-b5cd-dc60b43c5e2a;11;2023;1674012;6
8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f3;11;2023;1674021;6
e1a08f64-40e3-4888-9da2-74cfb4f62323;11;2023;1674022;6
9977b6ab-5e0f-4e06-b8e2-41c6a2c947fc;11;2023;1674031;6
f9732dd7-0b90-4970-ba82-0dfc9c7f87e5;11;2023;1674032;6
8b4fb108-19b7-45f7-b25b-9e71a5f348a3;11;2023;1674041;6
4e028e62-b477-4a1c-91c2-8100a67b0a6e;11;2023;1674042;6
da488b5a-29a7-4754-a9ed-7cf96be0ff56;12;2023;1674011;6
0f824eb2-4b4b-49df-9b38-bf8d73ed590d;12;2023;1674012;6
4379cd17-1f2f-4b2a-8d90-56de03537a65;12;2023;1674021;6
89d29c9a-2a4d-4994-9d52-d7429c48e998;12;2023;1674022;6
a7d413e7-96e2-4b76-b9fb-0e586b76d86d;12;2023;1674031;6
1a6637c1-38fc-4f11-aec2-3b2a86a21732;12;2023;1674032;6
b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;12;2023;1674041;6
fc46a26d-2382-4ebd-8cfc-26e6c6d5f50f;12;2023;1674042;6
a8a21f9d-91da-4080-9d45-ef44d55a126c;10;2023;1674011;6
ed1b7d18-8cbf-4e63-a0cd-7bf2f1066667;10;2023;1674012;6
683c67a2-4e6b-4c7a-92fe-5a69f4d64160;10;2023;1674021;6
2e4d6d9b-312a-4651-890e-8d1442e3b0d5;10;2023;1674022;6
c48de09d-2f33-4f2b-a731-8d33275b122e;10;2023;1674031;6
3cd83e66-29f7-4dcd-aed3-2c78c622bd9e;10;2023;1674032;6
952c3c65-6f62-4cf1-9b95-036c7225b33e;10;2023;1674041;6
9e32cf9f-66f5-41b5-9c9a-8f73937c6cb3;10;2023;1674042;6
